거래일시,출금,입금,거래내용
2024-01-11 13:01:15,0 ,245000 ,백두도서
2024-01-11 13:01:16,0 ,140000 ,백두도서
2024-01-15 14:04:55,0 ,450800 ,백두도서
2024-01-17 10:28:20,0 ,29400 ,백두도서
2024-01-24 17:03:40,0 ,372400 ,보연도서
2024-01-09 11:03:18,0 ,19600 ,북센
2024-01-09 15:35:23,77200 ,0 ,로젠택배
2024-01-04 11:53:59,0 ,941200 ,서울북주식회사
2024-01-09 11:39:21,0 ,269100 ,서울북주식회사
2024-01-11 11:32:15,0 ,46150 ,서울북주식회사
2024-01-15 11:23:46,0 ,152100 ,서울북주식회사
2024-01-16 11:21:25,0 ,654550 ,서울북주식회사
2024-01-18 11:14:53,0 ,165750 ,서울북주식회사
2024-01-22 11:28:31,0 ,213850 ,서울북주식회사
2024-01-23 11:41:23,0 ,116350 ,서울북주식회사
2024-01-25 11:36:09,0 ,119600 ,서울북주식회사
2024-01-26 11:45:45,0 ,536250 ,서울북주식회사
2024-01-29 10:52:50,0 ,101400 ,서울북주식회사
2024-01-30 10:47:13,0 ,371150 ,서울북주식회사
2024-01-12 19:21:13,0 ,19600 ,하나북스퀘어
2024-01-16 10:13:59,0 ,40600 ,하나북스퀘어
2024-01-29 17:11:00,0 ,196000 ,하나북스퀘어
2024-01-31 17:28:22,0 ,235200 ,하나북스퀘어
2024-01-09 15:35:25,931150 ,0 ,우승라미네이팅
2024-01-23 10:34:46,0 ,700 ,이도
2024-01-26 11:00:49,0 ,14000 ,이도
2024-01-30 15:52:44,0 ,14000 ,이도
2024-01-16 09:50:50,0 ,11950 ,더송북
2024-01-16 10:11:46,0 ,25200 ,더송북
2024-01-23 09:49:00,0 ,15400 ,더송북
2024-01-23 23:01:20,0 ,61600 ,더송북
2024-01-24 09:35:49,0 ,394100 ,더송북
2024-01-25 11:03:58,0 ,452200 ,더송북
2024-01-26 09:35:35,0 ,67200 ,더송북
2024-01-29 15:15:30,0 ,14000 ,더송북
2024-01-30 16:06:47,0 ,12600 ,더송북
2024-01-10 12:40:58,0 ,87500 ,순천도서유통서원
2024-01-18 16:36:49,0 ,14000 ,순천도서유통서원
2024-01-04 09:10:18,0 ,325000 ,신한전문서적
2024-01-05 10:51:04,0 ,14000 ,애듀미디어
2024-01-08 10:37:30,0 ,448000 ,에듀미디어
2024-01-12 09:37:39,0 ,399000 ,에듀미디어
2024-01-31 11:00:45,0 ,340200 ,에듀미디어
2024-01-08 12:16:24,0 ,49000 ,우리문화사
2024-01-11 23:07:06,22400 ,0 ,유민북스
2024-01-11 11:54:10,0 ,17500 ,은산도서유통
2024-01-17 19:52:30,0 ,12600 ,은산도서유통
2024-01-15 10:53:16,0 ,33600 ,이노북스
2024-01-04 10:06:36,0 ,473200 ,가온북
2024-01-16 09:40:55,0 ,444000 ,가온북
2024-01-17 10:08:44,0 ,637000 ,가온북
2024-01-19 09:43:07,0 ,77000 ,가온북
2024-01-18 11:13:09,0 ,14000 ,전북전문통일서점
2024-01-22 09:02:15,0 ,49000 ,WORLDB
2024-01-23 09:09:50,0 ,33600 ,WORLDB
2024-01-30 08:57:15,0 ,17500 ,WORLDB
2024-01-29 13:48:10,0 ,12600 ,종합서적(주)
2024-01-30 13:14:27,0 ,19600 ,종합서적(주)
2024-01-05 12:21:47,0 ,30800 ,주)세원출판유통
2024-01-10 12:56:24,0 ,14000 ,주)세원출판유통
2024-01-16 10:00:35,0 ,24500 ,주)세원출판유통
2024-01-29 10:06:23,0 ,10500 ,주)세원출판유통
2024-01-30 10:17:43,0 ,12600 ,주)세원출판유통
2024-01-03 18:24:22,0 ,214200 ,주)학술정보
2024-01-11 15:59:30,0 ,49000 ,주)학술정보
2024-01-16 17:33:51,0 ,80500 ,주)학술정보
2024-01-19 16:58:25,0 ,113400 ,주)학술정보
2024-01-24 16:29:07,0 ,70700 ,주)학술정보
2024-01-25 17:22:41,0 ,32200 ,주)학술정보
2024-01-31 17:45:12,0 ,81200 ,주)학술정보
2024-01-02 11:19:31,0 ,12600 ,주식회사북채널
2024-01-03 10:16:30,0 ,12600 ,주식회사북채널
2024-01-05 11:16:15,0 ,33600 ,주식회사북채널
2024-01-12 10:11:45,0 ,33600 ,주식회사북채널
2024-01-17 14:48:57,0 ,14000 ,중부서적판매주식회사
2024-01-18 10:51:55,0 ,30800 ,중부서적판매주식회사
2024-01-15 10:21:33,0 ,24500 ,책과사람
2024-01-05 12:39:49,0 ,151200 ,하나도서
2024-01-09 11:07:44,0 ,18900 ,하나도서
2024-01-12 09:53:30,0 ,18900 ,하나도서
2024-01-09 15:35:23,6885436 ,0 ,한국출판물류주식회사
2024-01-02 14:37:52,0 ,33600 ,한국출판협동조합
2024-01-04 14:36:46,0 ,28000 ,한국출판협동조합
2024-01-11 11:17:39,0 ,95200 ,한국출판협동조합
2024-01-12 11:03:35,0 ,31500 ,한국출판협동조합
2024-01-15 11:01:59,0 ,33600 ,한국출판협동조합
2024-01-17 11:04:35,0 ,77700 ,한국출판협동조합
2024-01-19 11:05:44,0 ,53900 ,한국출판협동조합
2024-01-22 11:08:12,0 ,93800 ,한국출판협동조합
2024-01-23 11:20:48,0 ,18200 ,한국출판협동조합
2024-01-24 11:10:10,0 ,53200 ,한국출판협동조합
2024-01-25 11:05:19,0 ,25200 ,한국출판협동조합
2024-01-26 11:03:08,0 ,53200 ,한국출판협동조합
2024-01-31 12:57:20,0 ,36400 ,한국출판협동조합
2024-01-16 10:28:12,0 ,21000 ,한국코막
2024-01-25 16:55:01,0 ,490000 ,해솔서적허양
2024-01-02 11:08:27,0 ,18900 ,햇빛문고
2024-01-05 10:32:52,0 ,2800 ,햇빛문고
2024-01-05 10:37:52,0 ,88200 ,햇빛문고
2024-01-08 10:44:19,0 ,95200 ,햇빛문고
2024-01-11 11:54:44,0 ,78000 ,홍문관서적
2024-01-25 11:34:54,0 ,78400 ,홍문관서적
2024-01-10 10:31:46,0 ,19600 ,홍문당)납품5층
